Nº;Descripción;Tipo
54000069;MOLLELAST HAFT BLANCO 4CM X  4M;Servicio
54000070;"VENDA DE GUATA 8"" 20CM X3M";Servicio
54000071;"VENDA DE GUATA 6"" 15CMX 3M";Servicio
54000072;"VENDA DE GUATA DE 4"" 10CM X 3M";Servicio
54000073;LOMATUELL 10X10CM;Servicio
54000074;PINZA CURVA PARA BOLSA DE OSTOMIA;Servicio
54000075;DIAMONS BOLSITAS GELIFICANTES;Servicio
54000076;SUPRASORB F - ROLLO NO ESTERILL 20CM;Servicio
54000077;VENDA TUBULAR ELASTICA 8CM 1M;Servicio
54000078;VENDA TUBULAR ELASTICA 10CM 1M;Servicio
54000079;VENDA TUBULAR ELASTICA 15CM 1M;Servicio
54000080;VARICEX VENDAJE 20CM;Servicio
54000081;LEUCOPLAST 1 X 5;Servicio
54000083;CAT. INTRAVENOSO 16;Servicio
54000084;CAT. INTRAVENOSO 14;Servicio
54000085;CAT. INTRAVENOSO 18;Servicio
54000086;BIGOTERA;Servicio
54000088;GALON DE AGUA DESTILADA;Servicio
54000089;EQUIPO DE NEBULIZACION (C NEBULIZADOR KIT CONTINUO);Servicio
54000090;LLAVES DE 3 VÍAS (EQUIPO VENOSET C/LLAVE 3 VIAS);Servicio
54000091;JERINGUILLAS 5CC;Servicio
54000093;SONDA DE SUCCION N° 14;Servicio
54000094;EQUIPOS DE VENOCLISIS;Servicio
54000095;CATLONES 20-23-24;Servicio
54000096;AMP FLUMICIL;Servicio
54000098;LENTES DE CONTACTO;Servicio
55000487;JERINGA DE 10 CC;Servicio
55000488;JERINGA DE 20 CC;Servicio
55000584;FRASCOS S.S. 0.9% 250 ML;Servicio
55000585;CATLONES INT;Servicio
55500589;JERINGA INSULINA;Servicio
55500590;JERINGA 50ML;Servicio
55500591;Máscara oxígeno pediátrica con reservorio;Servicio
55500592;Lactato Ringer 500 ml;Servicio
59000893;ESTOQUINETE DE 3 POR METRO;Servicio
59000982;ESTOQUINETE 2 POR METRO;Servicio
59000984;ESTOQUINETE DE 4 POR METRO;Servicio
59000985;ESTOQUINETE DE 6 POR METRO;Servicio
80000991;VENDA TENSOPLAST;Servicio
